ID,Fx,Fy,Fz,Mx,My,Mz,q,qd,qdd
MAX_Fx_Joint0,1444.322181466667,-140.63941405999998,-271.67324900000006,76.64464354374542,164.20978133385086,410.11835723677154,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MIN_Fx_Joint0,-1542.6693537255721,206.1412590085289,192.59190867187542,43.12844535598204,-566.2765347624381,168.52491464816106,"[-1.5707963267948966, -1.0471975511965976, 3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MAX_Fy_Joint0,-226.30860869340418,577.7674023027633,-227.39193936610974,-112.5774246979028,89.73098938920084,-34.42156935429032,"[-1.5707963267948966, -1.0471975511965976, 0.0, 0.0, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[-5.0, 5.0, -6.0, -7.0, -8.0, -8.0]"
MIN_Fy_Joint0,-574.0065765428486,-842.1173288399359,383.04693641656354,362.87834478030385,-518.6548658750387,-707.2764031209815,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Fz_Joint0,154.05517643705306,-699.8167293081298,701.2562590915187,710.4367878801652,92.03902609011803,134.23626259366966,"[-1.5707963267948966, 0.26179938779914935, 3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MIN_Fz_Joint0,-362.3634309036574,-809.3656481478226,-1240.2331090915188,-403.3575314320711,-135.0067600278625,188.11435651702192,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, -8.0, 8.0]"
MAX_Mx_Joint0,53.54857443529551,-818.7096188842169,701.2562590915186,732.8385859892122,91.81407973023555,128.91997211513544,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 3.141592653589793, 0.0, 3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, -5.2]","[-5.0, 5.0, -6.0, -7.0, 8.0, -8.0]"
MIN_Mx_Joint0,24.98289600984245,-670.5048941577231,-1240.2331090915186,-427.0518428507684,-85.99487991632658,-43.428458750442196,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, -3.141592653589793, 0.0, 3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[5.0, -5.0, 6.0, 7.0, -8.0, 8.0]"
MAX_My_Joint0,1444.3221814666667,-140.63941405999992,152.38563233333335,75.31557504580088,562.1043043793923,409.9962388355507,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MIN_My_Joint0,-1222.9214192316028,-448.190223047392,446.7278364165635,344.4826585639741,-675.6250631605078,-159.76390453598023,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, -8.0, 8.0]"
MAX_Mz_Joint0,1333.906481466667,-625.0997473933334,-271.67324900000006,141.98143069414544,150.6109378602509,840.6040284801272,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_Mz_Joint0,-574.0065765428486,-842.1173288399358,-653.1048424576052,30.26088632604325,239.91263113716263,-707.3938893302022,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_F_RESULTANT_Joint0,1146.616521838489,-529.0768717157572,-1103.5512117676021,-293.93619668316813,-69.70356998355803,-433.3321636675299,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MAX_M_RESULTANT_Joint0,1333.9064814666672,-625.0997473933332,152.38563233333335,140.65236219620087,548.5054609057925,840.4819100789064,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, -5.2]","[-5.0, 5.0, 6.0, -7.0, 8.0, -8.0]"
MAX_Fx_Joint1,373.9007214666668,389.60441406000007,-338.4950156666667,30.574407024389526,157.3429864340176,139.96722828366168,"[-1.5707963267948966, 1.5707963267948966, 0.0, 0.0, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_Fx_Joint1,-1330.9221814666669,140.6394140599998,-53.71844900000007,11.347086286532635,-133.35563133385082,-57.82639917875832,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Fy_Joint1,-1134.7129396726477,893.1582439322798,410.5467086718754,-176.2948734455264,-516.4686233049644,668.3338590419166,"[-1.5707963267948966, -1.0471975511965976, 3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_Fy_Joint1,-778.4651280488634,-861.0753518690585,-857.7270784342688,77.9967860071699,621.4225875736934,-804.8249185555302,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Fz_Joint1,-686.493386451781,141.85601273341098,919.2110590915187,-183.5878939000784,-921.5595556646235,84.33801580773469,"[-1.5707963267948966, 0.26179938779914935, 3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MIN_Fz_Joint1,-717.3507050052409,449.95945190377876,-1022.2783090915187,107.78777369655299,804.6842314755771,305.50418191647714,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, -8.0, 8.0]"
MAX_Mx_Joint1,-778.4651280488636,-861.0753518690584,881.5903083060972,230.9894825717191,-896.4169641248576,-804.6964299575093,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 0.0, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, 7.0, -8.0, 8.0]"
MIN_Mx_Joint1,-623.5816163565773,799.9104549200218,891.1329037495284,-291.25539423153094,-890.2951585447554,726.651853794598,"[-1.5707963267948966, 0.26179938779914935, 3.141592653589793, 3.141592653589793, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, 8.0, -8.0]"
MAX_My_Joint1,-562.1985151581586,678.1141185014955,-1022.2783090915186,70.50759835897469,828.0642481043567,594.729903147329,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, -3.141592653589793, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, -5.2]","[5.0, 5.0, 6.0, 7.0, -8.0, 8.0]"
