ID,Fx,Fy,Fz,Mx,My,Mz,q,qd,qdd
MAX_Fx_Joint0,1546.181686266667,-66.44296739333338,-248.96224900000013,54.06466350441262,182.26928103664116,304.0618671434304,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MIN_Fx_Joint0,-1648.6703677240585,326.5112125772299,316.96365631912306,57.557245249592924,-759.3183362708482,386.0681662635646,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MAX_Fy_Joint0,-528.3846525361779,388.6047429659283,-183.46390129337973,26.869126206860997,-57.129919341088964,477.6008294363669,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, -3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MIN_Fy_Joint0,1384.6432662666673,-726.4125540600002,-248.96224900000016,142.42047745481267,162.12281988639475,1008.1025599553943,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, -7.0, -8.0, -8.0]"
MAX_Fz_Joint0,-1150.7722203621477,-350.4720252012191,329.2036563191232,148.9503988702009,-697.2168320931381,-340.81410482988986,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, -5.2]","[5.0, -5.0, -6.0, -7.0, -8.0, 8.0]"
MIN_Fz_Joint0,-1101.0345454372177,-279.92726558774905,-868.1805063191232,60.520259473557935,498.66130046233445,-166.92980671672666,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, -5.2]","[-5.0, -5.0, 6.0, 7.0, 8.0, -8.0]"
MAX_Mx_Joint0,1104.2182662666667,-726.4125540600002,-241.71370099999984,226.4120227148179,133.75904354635696,924.804782556165,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, 3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, 8.0, -8.0]"
MIN_Mx_Joint0,-968.3898299907249,326.51121257723,-868.180506319123,-19.544380461073665,527.1660283344801,450.166169660208,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, 3.141592653589793, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, -4.66, 5.2]","[-5.0, 5.0, 6.0, 7.0, 8.0, -8.0]"
MAX_My_Joint0,1546.1816862666667,-66.44296739333343,255.5672990000002,70.63054416931989,732.5124598935553,304.1874902285615,"[-1.5707963267948966, 1.5707963267948966, 3.141592653589793, -3.141592653589793, -3.141592653589793, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, -5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, 8.0]"
MIN_My_Joint0,-1648.6703677240585,326.51121257723014,329.2036563191232,57.577654073851406,-772.6060814164111,386.06837022836464,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, -3.141592653589793, -3.141592653589793, 3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, 4.66, -5.2]","[5.0, 5.0, 6.0, -7.0, -8.0, 8.0]"
